Group,Run,5-1,5-1_conf,5-2,5-2_conf,5-3,5-3_conf,5-4,5-4_conf,5-5,5-5_conf,5-6,5-6_conf,5-7,5-7_conf,5-8,5-8_conf,Detected,Total,CDR%
A,1,X,high,X,high,X,high,X,low,X,high,X,high,X,high,X,high,0,8,0.0
A,2,X,high,X,high,X,high,X,high,X,high,X,low,X,high,X,high,0,8,0.0
A,3,X,high,X,high,X,high,X,high,X,high,X,high,X,high,X,high,0,8,0.0
A,4,X,low,X,high,X,high,X,low,X,high,X,low,X,high,X,high,0,8,0.0
A,5,X,high,X,high,X,high,X,low,X,high,X,high,X,high,X,high,0,8,0.0
B,1,X,high,X,high,X,high,X,high,O,high,X,high,X,high,O,high,2,8,25.0
B,2,X,high,X,high,X,high,X,high,X,high,X,high,X,high,O,high,1,8,12.5
B,3,X,high,X,high,X,high,O,high,X,high,X,high,X,high,X,high,1,8,12.5
B,4,O,medium,X,high,X,high,X,high,X,high,X,high,X,high,O,high,2,8,25.0
B,5,X,high,X,high,X,high,X,low,X,high,X,high,X,high,O,high,1,8,12.5
C,1,O,high,O,high,O,low,O,high,O,high,O,high,O,high,O,high,8,8,100.0
C,2,O,high,O,high,O,low,O,high,O,high,O,high,O,low,O,high,8,8,100.0
C,3,O,high,O,high,O,low,O,high,O,high,O,high,O,high,O,high,8,8,100.0
C,4,O,high,O,high,O,low,O,high,O,high,O,high,O,high,O,high,8,8,100.0
C,5,O,high,O,high,O,low,O,high,O,high,O,high,O,high,O,high,8,8,100.0
