Group,Task,Run,Passed,Total,LCR%
A,1,1,23,25,92.0
A,1,2,22,25,88.0
A,1,3,22,25,88.0
A,1,4,15,25,60.0
A,1,5,24,25,96.0
A,2,1,26,28,92.85714285714286
A,2,2,24,28,85.71428571428571
A,2,3,25,28,89.28571428571429
A,2,4,25,28,89.28571428571429
A,2,5,24,28,85.71428571428571
A,3,1,19,20,95.0
A,3,2,19,20,95.0
A,3,3,20,20,100.0
A,3,4,19,20,95.0
A,3,5,19,20,95.0
A,4,1,24,25,96.0
A,4,2,23,25,92.0
A,4,3,23,25,92.0
A,4,4,24,25,96.0
A,4,5,23,25,92.0
B,1,1,22,25,88.0
B,1,2,25,25,100.0
B,1,3,24,25,96.0
B,1,4,13,25,52.0
B,1,5,24,25,96.0
B,2,1,27,28,96.42857142857143
B,2,2,27,28,96.42857142857143
B,2,3,27,28,96.42857142857143
B,2,4,27,28,96.42857142857143
B,2,5,27,28,96.42857142857143
B,3,1,20,20,100.0
B,3,2,20,20,100.0
B,3,3,20,20,100.0
B,3,4,20,20,100.0
B,3,5,20,20,100.0
B,4,1,25,25,100.0
B,4,2,24,25,96.0
B,4,3,23,25,92.0
B,4,4,23,25,92.0
B,4,5,25,25,100.0
C,1,1,24,25,96.0
C,1,2,22,25,88.0
C,1,3,25,25,100.0
C,1,4,25,25,100.0
C,1,5,25,25,100.0
C,2,1,26,28,92.85714285714286
C,2,2,27,28,96.42857142857143
C,2,3,26,28,92.85714285714286
C,2,4,26,28,92.85714285714286
C,2,5,26,28,92.85714285714286
C,3,1,19,20,95.0
C,3,2,19,20,95.0
C,3,3,19,20,95.0
C,3,4,19,20,95.0
C,3,5,19,20,95.0
C,4,1,25,25,100.0
C,4,2,25,25,100.0
C,4,3,24,25,96.0
C,4,4,25,25,100.0
C,4,5,25,25,100.0
