Group,Task,Run,Item,Desc,Passed
A,1,1,1-1,PO 연결 필수,True
A,1,1,1-2,2단계 프로세스,True
A,1,1,1-3,초과입고 제한 로직,True
A,1,1,1-4,초과입고 거부 응답,True
A,1,1,1-5,재고 반영 시점 (confirmed),True
A,1,1,1-6,유통기한 필수 체크,False
A,1,1,1-7,유통기한 비관리 처리,False
A,1,1,1-8,received_qty 누적,True
A,1,1,1-9,PO 상태 completed,True
A,1,1,1-10,PO 상태 partial,True
A,1,1,1-11,location.current_qty 갱신,True
A,1,1,1-12,입고 거부 시 무변동,True
A,1,1,1-13,카테고리별 초과율 차등,True
A,1,1,1-14,HAZMAT 0% 예외 없음,True
A,1,1,1-15,PO유형 가중치,True
A,1,1,1-16,성수기 가중치,True
A,1,1,1-17,manufacture_date 필수,True
A,1,1,1-18,잔여율 < 30% 거부,True
A,1,1,1-19,잔여율 30~50% 승인 필요,True
A,1,1,1-20,보관유형 호환 체크,True
A,1,1,1-21,HAZMAT zone 체크,True
A,1,1,1-22,실사 동결 로케이션 거부,True
A,1,1,1-23,페널티 기록 (OVER_DELIVERY),True
A,1,1,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
A,1,1,1-25,페널티 3회 → PO hold,True
A,1,2,1-1,PO 연결 필수,True
A,1,2,1-2,2단계 프로세스,True
A,1,2,1-3,초과입고 제한 로직,True
A,1,2,1-4,초과입고 거부 응답,True
A,1,2,1-5,재고 반영 시점 (confirmed),True
A,1,2,1-6,유통기한 필수 체크,False
A,1,2,1-7,유통기한 비관리 처리,False
A,1,2,1-8,received_qty 누적,False
A,1,2,1-9,PO 상태 completed,True
A,1,2,1-10,PO 상태 partial,True
A,1,2,1-11,location.current_qty 갱신,True
A,1,2,1-12,입고 거부 시 무변동,True
A,1,2,1-13,카테고리별 초과율 차등,True
A,1,2,1-14,HAZMAT 0% 예외 없음,True
A,1,2,1-15,PO유형 가중치,True
A,1,2,1-16,성수기 가중치,True
A,1,2,1-17,manufacture_date 필수,True
A,1,2,1-18,잔여율 < 30% 거부,True
A,1,2,1-19,잔여율 30~50% 승인 필요,True
A,1,2,1-20,보관유형 호환 체크,True
A,1,2,1-21,HAZMAT zone 체크,True
A,1,2,1-22,실사 동결 로케이션 거부,True
A,1,2,1-23,페널티 기록 (OVER_DELIVERY),True
A,1,2,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
A,1,2,1-25,페널티 3회 → PO hold,True
A,1,3,1-1,PO 연결 필수,False
A,1,3,1-2,2단계 프로세스,True
A,1,3,1-3,초과입고 제한 로직,True
A,1,3,1-4,초과입고 거부 응답,True
A,1,3,1-5,재고 반영 시점 (confirmed),True
A,1,3,1-6,유통기한 필수 체크,True
A,1,3,1-7,유통기한 비관리 처리,True
A,1,3,1-8,received_qty 누적,False
A,1,3,1-9,PO 상태 completed,True
A,1,3,1-10,PO 상태 partial,True
A,1,3,1-11,location.current_qty 갱신,True
A,1,3,1-12,입고 거부 시 무변동,True
A,1,3,1-13,카테고리별 초과율 차등,True
A,1,3,1-14,HAZMAT 0% 예외 없음,True
A,1,3,1-15,PO유형 가중치,True
A,1,3,1-16,성수기 가중치,True
A,1,3,1-17,manufacture_date 필수,True
A,1,3,1-18,잔여율 < 30% 거부,True
A,1,3,1-19,잔여율 30~50% 승인 필요,True
A,1,3,1-20,보관유형 호환 체크,True
A,1,3,1-21,HAZMAT zone 체크,True
A,1,3,1-22,실사 동결 로케이션 거부,False
A,1,3,1-23,페널티 기록 (OVER_DELIVERY),True
A,1,3,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
A,1,3,1-25,페널티 3회 → PO hold,True
A,1,4,1-1,PO 연결 필수,True
A,1,4,1-2,2단계 프로세스,False
A,1,4,1-3,초과입고 제한 로직,False
A,1,4,1-4,초과입고 거부 응답,False
A,1,4,1-5,재고 반영 시점 (confirmed),False
A,1,4,1-6,유통기한 필수 체크,False
A,1,4,1-7,유통기한 비관리 처리,True
A,1,4,1-8,received_qty 누적,False
A,1,4,1-9,PO 상태 completed,True
A,1,4,1-10,PO 상태 partial,True
A,1,4,1-11,location.current_qty 갱신,False
A,1,4,1-12,입고 거부 시 무변동,True
A,1,4,1-13,카테고리별 초과율 차등,True
A,1,4,1-14,HAZMAT 0% 예외 없음,True
A,1,4,1-15,PO유형 가중치,True
A,1,4,1-16,성수기 가중치,True
A,1,4,1-17,manufacture_date 필수,False
A,1,4,1-18,잔여율 < 30% 거부,True
A,1,4,1-19,잔여율 30~50% 승인 필요,False
A,1,4,1-20,보관유형 호환 체크,True
A,1,4,1-21,HAZMAT zone 체크,True
A,1,4,1-22,실사 동결 로케이션 거부,False
A,1,4,1-23,페널티 기록 (OVER_DELIVERY),True
A,1,4,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
A,1,4,1-25,페널티 3회 → PO hold,True
A,1,5,1-1,PO 연결 필수,True
A,1,5,1-2,2단계 프로세스,True
A,1,5,1-3,초과입고 제한 로직,True
A,1,5,1-4,초과입고 거부 응답,True
A,1,5,1-5,재고 반영 시점 (confirmed),True
A,1,5,1-6,유통기한 필수 체크,True
A,1,5,1-7,유통기한 비관리 처리,True
A,1,5,1-8,received_qty 누적,False
A,1,5,1-9,PO 상태 completed,True
A,1,5,1-10,PO 상태 partial,True
A,1,5,1-11,location.current_qty 갱신,True
A,1,5,1-12,입고 거부 시 무변동,True
A,1,5,1-13,카테고리별 초과율 차등,True
A,1,5,1-14,HAZMAT 0% 예외 없음,True
A,1,5,1-15,PO유형 가중치,True
A,1,5,1-16,성수기 가중치,True
A,1,5,1-17,manufacture_date 필수,True
A,1,5,1-18,잔여율 < 30% 거부,True
A,1,5,1-19,잔여율 30~50% 승인 필요,True
A,1,5,1-20,보관유형 호환 체크,True
A,1,5,1-21,HAZMAT zone 체크,True
A,1,5,1-22,실사 동결 로케이션 거부,True
A,1,5,1-23,페널티 기록 (OVER_DELIVERY),True
A,1,5,1-24,페널티 기록 (SHORT_SHELF_LIFE),True
A,1,5,1-25,페널티 3회 → PO hold,True
A,2,1,2-1,FIFO 적용,True
A,2,1,2-2,FEFO 우선 적용,True
A,2,1,2-3,FEFO 동률 시 FIFO,True
A,2,1,2-4,분할 피킹,True
A,2,1,2-5,만료 재고 제외,True
A,2,1,2-6,부분출고,True
A,2,1,2-7,백오더 자동 생성,True
A,2,1,2-8,picked_qty 기록,True
A,2,1,2-9,부분출고 상태 partial,True
A,2,1,2-10,전량 백오더,True
A,2,1,2-11,inventory.quantity 차감,True
A,2,1,2-12,location.current_qty 차감,True
A,2,1,2-13,피킹 상세 반환,False
A,2,1,2-14,출고 완료 shipped,True
A,2,1,2-15,is_expired 재고 제외,True
