Group,Task,Run,D1,D2,D3,D4,D5,D6,D7,Total
A,1,1,8,0,16,0,0,0,0,24
A,1,2,12,0,26,0,2,0,0,40
A,1,3,10,0,15,0,0,0,0,25
A,1,4,4,0,35,0,2,0,0,41
A,1,5,10,0,22,0,0,0,0,32
A,2,1,9,0,31,0,0,0,0,40
A,2,2,15,0,35,0,1,0,0,51
A,2,3,14,0,33,0,1,0,0,48
A,2,4,5,0,34,0,1,0,0,40
A,2,5,13,0,37,0,7,0,0,57
A,3,1,10,0,33,0,0,0,0,43
A,3,2,15,0,35,0,1,0,0,51
A,3,3,14,0,34,0,1,0,0,49
A,3,4,5,0,33,0,1,0,0,39
A,3,5,14,0,36,0,9,0,0,59
A,4,1,9,0,35,0,0,0,0,44
A,4,2,14,0,37,0,1,0,0,52
A,4,3,14,0,36,0,1,0,0,51
A,4,4,6,0,31,0,1,0,0,38
A,4,5,13,0,38,0,8,0,0,59
B,1,1,1,0,0,0,0,0,0,1
B,1,2,1,0,0,0,0,0,0,1
B,1,3,1,0,0,0,0,0,0,1
B,1,4,1,0,0,0,0,0,0,1
B,1,5,1,0,0,0,0,0,0,1
B,2,1,1,0,0,0,0,0,0,1
B,2,2,1,0,0,0,0,0,0,1
B,2,3,1,0,0,0,0,0,0,1
B,2,4,1,0,0,0,0,0,0,1
B,2,5,1,0,0,0,0,0,0,1
B,3,1,1,0,0,0,0,0,0,1
B,3,2,1,0,0,0,0,0,0,1
B,3,3,1,0,0,0,0,0,0,1
B,3,4,1,0,0,0,0,0,0,1
B,3,5,1,0,0,0,0,0,0,1
B,4,1,1,0,0,0,0,0,0,1
B,4,2,1,0,0,0,0,0,0,1
B,4,3,1,0,0,0,0,0,0,1
B,4,4,1,0,0,0,0,0,0,1
B,4,5,1,0,0,0,0,0,0,1
C,1,1,1,0,0,0,0,0,0,1
C,1,2,1,0,0,0,0,0,0,1
C,1,3,5,0,0,0,0,0,0,5
C,1,4,1,0,0,0,0,0,0,1
C,1,5,1,0,0,0,0,0,0,1
C,2,1,1,0,0,0,0,0,0,1
C,2,2,1,0,0,0,0,0,0,1
C,2,3,5,0,9,0,0,0,0,14
C,2,4,1,0,0,0,0,0,0,1
C,2,5,1,0,0,0,0,0,0,1
C,3,1,1,0,0,0,0,0,0,1
C,3,2,1,0,0,0,0,0,0,1
C,3,3,6,0,11,0,2,0,0,19
C,3,4,1,0,0,0,0,0,0,1
C,3,5,1,0,0,0,0,0,0,1
C,4,1,1,0,0,0,0,0,0,1
C,4,2,1,0,0,0,0,0,0,1
C,4,3,4,0,12,0,1,0,0,17
C,4,4,1,0,0,0,0,0,0,1
C,4,5,1,0,0,0,0,0,0,1
